,北京,上海,天津,重庆,哈尔滨,长春,沈阳,呼和浩特,石家庄,太原,济南,郑州,西安,兰州,银川,西宁,乌鲁木齐,合肥,南京,杭州,长沙,南昌,武汉,成都,贵阳,福州,台北,广州,海口,南宁,昆明,拉萨,香港,澳门
北京,0,1064.679,103.6108,1465.23,1055.407,854.4698,621.1659,408.281,270.1416,406.2411,366.2037,617.4973,917.4403,1187.234,896.5233,1333.377,2417.212,898.2655,900.1928,1125.651,1341.107,1248.448,1049.899,1520.881,1734.504,1558.67,1717.031,1888.757,2233.36,2049.949,2086.071,2563.215,1969.048,1987.348
上海,1064.679,0,962.7783,1445.31,1675.071,1444.387,1190.932,1374.273,991.1966,1099.385,728.8979,826.6061,1223.192,1717.927,1595.214,1912.795,3268.83,402.2849,266.1727,169.1265,886.3806,610.7552,683.7439,1658.998,1527.473,610.9603,687.5661,1213.345,1630.497,1602.881,1949.973,2902.259,1229.781,1275.688
天津,103.6108,962.7783,0,1446.82,1068.912,855.8863,604.2446,494.5867,266.7588,426.2512,280.2932,574.0972,915.9123,1225.668,950.5702,1381.098,2504.171,811.8003,805.2308,1027.737,1278.995,1170.121,983.2664,1520.553,1703.463,1466.287,1619.53,1819.347,2173.356,2001.665,2067.168,2597.221,1895.365,1916.042
重庆,1465.23,1445.31,1446.82,0,2515.364,2301.367,2040.281,1342.153,1195.117,1081.091,1253.262,892.827,571.7165,767.7326,978.8256,906.253,2306.422,1060.72,1206.668,1314.31,647.3066,911.4066,761.5776,266.406,328.4346,1312.067,1560.796,976.5033,1073.39,769.9114,620.9234,1484.694,1108.254,1075.418
哈尔滨,1055.407,1675.071,1068.912,2515.364,0,235.1743,508.6058,1320.943,1323.334,1458.195,1295.422,1637.37,1972.813,2192.358,1869.502,2306.374,3061.908,1743.215,1673.5,1815.912,2293.006,2120.777,1992.806,2575.618,2769.201,2282.804,2347.2,2791.034,3178.006,3041.984,3135.954,3558.081,2842.829,2875.874
长春,854.4698,1444.387,855.8863,2301.367,235.1743,0,274.8248,1159.983,1116.991,1260.632,1068.942,1416.675,1768.839,2020.14,1705.845,2146.302,2998.583,1508.428,1432.183,1582.921,2060.718,1885.851,1760.837,2373.438,2547.578,2050.531,2120.498,2556.097,2944.069,2811.801,2920.791,3393.995,2607.655,2640.744
沈阳,621.1659,1190.932,604.2446,2040.281,508.6058,274.8248,0,974.4782,870.3846,1023.591,798.3828,1150.889,1519.882,1806.605,1505.839,1946.169,2905.402,1234.86,1162.365,1322.257,1785.938,1612.615,1486.133,2124.255,2279.289,1791.079,1874.235,2282.846,2669.509,2537.633,2657.843,3183.151,2336.249,2368.418
呼和浩特,408.281,1374.273,494.5867,1342.153,1320.943,1159.983,974.4782,0,384.9879,334.5822,647.7161,689.4813,771.7739,873.7006,548.6225,987.2666,2010.033,1111.521,1160.875,1396.937,1409.015,1398.925,1157.149,1326.497,1650.671,1778.128,1970.674,1970.951,2261.941,2029.482,1943.88,2237.836,2070.9,2076.587
石家庄,270.1416,991.1966,266.7588,1195.117,1323.334,1116.991,870.3846,384.9879,0,167.6286,272.7382,366.0122,651.8724,970.0288,717.2544,1134.126,2335.167,734.3518,776.3946,1012.315,1103.704,1047.722,824.7509,1256.583,1466.156,1404.085,1589.439,1660.83,1988.394,1791.871,1815.985,2335.794,1749.693,1762.759
太原,406.2411,1099.385,426.2512,1081.091,1458.195,1260.632,1023.591,334.5822,167.6286,0,415.6214,355.7824,518.4091,802.9225,553.5982,966.5918,2191.899,796.0347,863.7911,1098.462,1077.486,1066.001,822.5952,1117.8,1369.83,1454.962,1656.773,1639.548,1941.614,1723.314,1698.912,2171.318,1737.673,1744.585
